Date,Price,Open,High,Low,Change %
11/15/2018,83.6,83.865,85.17,83.74,-0.05%
11/16/2018,83.6,83.785,83.805,83.785,0.00%
11/19/2018,83.63,83.875,83.9,83.755,0.04%
11/20/2018,83.15,83.875,83.925,83.515,-0.57%
11/21/2018,83.07,83.535,83.535,83.535,-0.10%
11/22/2018,83.88,83.895,83.895,83.865,0.98%
11/23/2018,83.89,83.89,83.89,83.89,0.01%
11/26/2018,83.72,83.89,85.17,83.81,-0.20%
11/27/2018,83.48,83.895,83.92,83.69,-0.29%
11/28/2018,83.74,83.895,83.925,83.82,0.31%
11/29/2018,83.65,83.895,83.91,83.775,-0.11%
11/30/2018,84.7,85.17,85.17,85.17,1.26%
12/3/2018,83.88,83.895,83.895,83.89,-0.97%
12/4/2018,83.08,83.945,84.01,83.49,-0.95%
12/5/2018,83.24,83.89,84.05,83.57,0.19%
12/6/2018,83.48,83.895,83.95,83.69,0.29%
12/7/2018,83.16,83.715,83.73,83.595,-0.38%
12/10/2018,83.49,83.89,83.955,83.695,0.40%
12/11/2018,83.5,83.895,83.935,83.7,0.01%
12/12/2018,83.56,83.895,83.95,83.73,0.07%
12/13/2018,83.66,83.895,83.945,83.78,0.12%
12/14/2018,83.34,83.795,83.815,83.675,-0.38%
12/17/2018,83.72,83.895,83.915,83.81,0.46%
12/18/2018,83.48,83.895,83.95,83.69,-0.29%
12/19/2018,83.56,83.895,84.015,83.73,0.10%
12/20/2018,83.24,83.895,83.965,83.57,-0.38%
12/21/2018,83.4,83.93,83.97,83.77,0.19%
12/24/2018,83.44,83.895,83.94,83.67,0.05%
12/25/2018,83.715,83.715,83.715,83.715,0.33%
12/26/2018,83.48,83.895,84.015,83.69,-0.28%
12/27/2018,83.45,83.895,83.955,83.675,-0.04%
12/28/2018,83.13,83.7,83.73,83.58,-0.38%
12/31/2018,83.61,83.61,83.61,83.61,0.58%
1/1/2019,83.85,83.895,83.895,83.875,0.29%
1/2/2019,83.45,83.895,83.945,83.675,-0.48%
1/3/2019,83.63,83.895,83.995,83.765,0.22%
1/4/2019,83.48,83.93,83.965,83.81,-0.18%
1/7/2019,83.58,83.945,84.04,83.74,0.12%
1/8/2019,83.42,83.945,84.015,83.685,-0.19%
1/9/2019,83.18,83.945,84.045,83.565,-0.29%
1/10/2019,83.42,83.945,83.98,83.685,0.29%
1/11/2019,83.26,83.685,83.69,83.645,-0.19%
1/14/2019,83.5,83.945,84.04,83.725,0.29%
1/15/2019,83.42,83.945,84.04,83.685,-0.10%
1/16/2019,83.42,83.945,84.095,83.685,0.00%
1/17/2019,83.18,83.945,84.03,83.565,-0.29%
1/18/2019,83.65,83.65,83.65,83.65,0.57%
1/21/2019,83.94,83.945,83.945,83.925,0.35%
1/22/2019,83.66,83.895,83.955,83.805,-0.33%
1/23/2019,83.26,83.945,84.025,83.605,-0.48%
1/24/2019,83.42,83.945,84.06,83.685,0.19%
1/25/2019,83.26,83.765,83.775,83.725,-0.19%
1/28/2019,83.78,83.945,83.96,83.865,0.62%
1/29/2019,83.61,83.945,83.97,83.78,-0.20%
1/30/2019,83.58,83.925,84,83.765,-0.04%
1/31/2019,83.26,83.895,84.015,83.605,-0.38%
2/1/2019,83.18,83.66,83.66,83.66,-0.10%
2/4/2019,83.66,83.945,83.995,83.805,0.58%
2/5/2019,83.74,83.945,83.99,83.845,0.10%
2/6/2019,83.5,83.945,83.995,83.725,-0.29%
2/7/2019,83.58,83.925,84.02,83.765,0.10%
2/8/2019,83.26,83.81,83.84,83.69,-0.38%
2/11/2019,83.34,83.945,84.02,83.645,0.10%
2/12/2019,83.6,84.025,84.1,83.775,0.31%
2/13/2019,83.52,84.045,84.135,83.785,-0.10%
2/14/2019,83.47,83.845,84.245,83.705,-0.06%
2/15/2019,83.925,83.925,83.925,83.925,0.55%
2/18/2019,84.1,84.115,84.115,84.11,0.21%
2/19/2019,84.1,84.115,84.115,84.11,0.00%
2/20/2019,84.1,84.115,84.115,84.11,0.00%
2/21/2019,83.54,84.215,84.245,83.975,-0.67%
2/22/2019,84.005,84.005,84.005,84.005,0.56%
2/25/2019,83.56,84.115,84.345,83.84,-0.53%
2/26/2019,83.64,84.145,84.215,83.895,0.10%
2/27/2019,83.4,84.145,84.24,83.775,-0.29%
2/28/2019,83.87,83.87,83.87,83.87,0.56%
3/1/2019,83.87,83.87,83.87,83.87,0.00%
3/4/2019,83.77,84.145,84.2,83.96,-0.12%
3/5/2019,83.56,84.145,84.22,83.855,-0.25%
3/6/2019,83.8,84.145,84.165,83.975,0.29%
3/7/2019,83.4,84.135,84.22,83.775,-0.48%
3/8/2019,83.32,83.815,83.815,83.815,-0.10%
3/11/2019,83.35,84.245,84.28,83.775,0.04%
3/12/2019,83.67,84.195,84.32,83.92,0.38%
3/13/2019,83.72,84.195,84.285,83.955,0.06%
3/14/2019,83.64,84.19,84.285,83.92,-0.10%
3/15/2019,83.95,83.95,83.95,83.95,0.37%
3/18/2019,83.68,84.175,84.345,83.795,-0.32%
3/19/2019,83.68,84.245,84.4,83.94,0.00%
3/20/2019,83.51,84.245,84.335,83.855,-0.20%
3/21/2019,83.44,84.225,84.315,83.845,-0.08%
3/22/2019,83.915,83.915,83.915,83.915,0.57%
3/25/2019,83.44,84.225,84.34,83.845,-0.57%
3/26/2019,83.94,83.94,83.94,83.94,0.60%
3/27/2019,83.51,84.245,84.34,83.88,-0.51%
3/28/2019,83.76,84.24,84.3,84.005,0.30%
3/29/2019,83.44,84.03,84.06,83.91,-0.38%
4/1/2019,83.6,84.245,84.3,83.925,0.19%
4/2/2019,83.77,84.245,84.275,84.01,0.20%
4/3/2019,83.85,84.245,84.27,84.05,0.10%
4/4/2019,83.57,84.24,84.34,83.91,-0.33%
4/5/2019,83.41,83.945,83.95,83.905,-0.19%
4/8/2019,83.97,84.245,84.315,84.11,0.67%
4/9/2019,83.62,84.295,84.505,83.935,-0.42%
4/10/2019,83.78,84.395,84.44,84.065,0.19%
4/11/2019,83.62,84.345,84.48,83.98,-0.19%
4/12/2019,84.095,84.095,84.095,84.095,0.57%
4/15/2019,84.02,84.39,84.44,84.185,-0.09%
4/16/2019,83.94,84.225,84.425,84.145,-0.10%
4/17/2019,84.34,84.345,84.345,84.345,0.48%
4/18/2019,83.94,84.345,84.435,84.145,-0.47%
4/19/2019,83.62,84.175,84.2,84.06,-0.38%
4/22/2019,83.94,84.415,84.44,84.255,0.38%
4/23/2019,83.86,84.38,84.48,84.105,-0.10%
4/24/2019,83.65,84.195,84.49,84,-0.25%
4/25/2019,83.55,84.345,84.45,83.95,-0.12%
4/26/2019,84.035,84.035,84.035,84.035,0.58%
4/29/2019,84.44,84.345,84.465,84.345,0.48%
4/30/2019,83.8,84.48,84.585,84.125,-0.76%
5/1/2019,84.265,84.265,84.265,84.265,0.55%
5/2/2019,84.27,84.445,84.47,84.36,0.01%
5/3/2019,84.27,84.385,84.385,84.385,0.00%
5/6/2019,84.44,84.445,84.445,84.445,0.20%
5/7/2019,84.17,84.445,84.525,84.31,-0.32%
5/8/2019,84.33,84.495,84.515,84.415,0.19%
5/9/2019,84.17,84.495,84.525,84.32,-0.19%
5/10/2019,83.69,84.415,84.505,84.08,-0.57%
5/13/2019,84.01,84.495,84.545,84.255,0.38%
5/14/2019,83.93,84.495,84.545,84.215,-0.10%
5/15/2019,83.69,84.495,84.56,84.095,-0.29%
5/16/2019,83.84,84.495,84.575,84.17,0.18%
5/17/2019,83.76,84.31,84.35,84.185,-0.10%
5/20/2019,83.93,84.495,84.685,84.215,0.20%
5/21/2019,84.01,84.495,84.54,84.255,0.10%
5/22/2019,83.85,84.495,84.565,84.175,-0.19%
5/23/2019,83.85,84.495,84.575,84.175,0.00%
